City Claim #,Date Of Accident,Claim Status,Last Close Date,Dept/division,Category,Cause,NOC Demand,Paid Bi,Paid Pd
15-0007-001,7/5/2015,F,7/23/2015,Police- Desert Horizon Precinct 600,Law Enforcement,Damage to Property,200.00,0.00,0.00
15-0032-001,7/8/2015,F,11/3/2015,Police- Squaw Peak Precinct 700,Premises,Maint. of Equipment,"4,954.26",0.00,500.00
15-0036-001,7/5/2015,F,8/7/2015,WSD- Wtr Customer Svcs/Meter Shop,Operations,Water Service Related,99.99,0.00,0.00
15-0039-001,7/8/2015,F,12/24/2015,Aviation- Sky Harbor Airport/Terminals,Operations,Damage to Property/Injury to Persons,250.00,0.00,0.00
15-0039-002,7/8/2015,F,3/21/2016,Aviation- Sky Harbor Airport/Terminals,Operations,Damage to Property/Injury to Persons,"3,729.51",0.00,0.00
15-0041-001,7/8/2015,F,12/8/2015,Police- Squaw Peak Precinct 700,Police Vehicle,Failure to Yield,"6,598.60",0.00,"3,750.00"
15-0042-001,7/13/2015,F,8/7/2015,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,"1,729.00",0.00,"1,859.72"
15-0044-001,7/13/2015,F,8/26/2015,Pub Wks- Solid Waste Special Operations,Light Truck,Lane Change/Pass,"2,467.10",0.00,0.00
15-0044-002,7/13/2015,F,1/12/2016,Pub Wks- Solid Waste Special Operations,Light Truck,Lane Change/Pass,"18,150.00",0.00,0.00
15-0045-001,7/1/2015,F,10/22/2015,Water Distrib - Corona Yard,Operations,Change Meter,"7,000.00",0.00,0.00
15-0046-001,7/1/2015,F,9/3/2015,Parks-SpecOps/Aquatcs/Forest/Cityw Sport,Premises,Swimming Related,100.00,100.00,0.00
15-0047-001,7/20/2015,F,8/19/2015,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Struck Fixed Object,"1,573.89",0.00,"2,455.09"
15-0049-001,7/23/2015,F,10/15/2015,Water Distrib - Reservoir Yard,Operations,Water Main Break,,0.00,"12,381.58"
15-0049-002,7/23/2015,F,10/15/2015,Water Distrib - Reservoir Yard,Operations,Water Main Break,,0.00,774.68
15-0055-001,7/13/2015,F,5/27/2016,Police- Maryvale Precinct 800,Police Vehicle,Rear End,"50,000.00","20,000.00",0.00
15-0055-002,7/13/2015,F,5/27/2016,Police- Maryvale Precinct 800,Police Vehicle,Rear End,"45,000.00","17,125.00",0.00
15-0060-001,7/6/2015,F,7/30/2015,Fire Battalion 3,Operations,Damage to Property/Injury to Persons,367.73,0.00,0.00
15-0060-002,7/6/2015,F,8/27/2015,Fire Battalion 3,Operations,Damage to Property/Injury to Persons,367.73,0.00,0.00
15-0062-001,7/27/2015,F,7/29/2015,Police- Central City Precinct 500,Law Enforcement,Law Enforcement Misc,,0.00,0.00
15-0063-001,7/1/2015,F,10/12/2015,Pub Wks- Solid Waste Field Services Sout,Refuse/Garbage,Mechanical Failure,"2,930.04",0.00,0.00
15-0065-001,7/21/2015,F,8/1/2016,Police- S. Mountain Precinct 400,Police Vehicle,Rear End,"3,500.00",0.00,0.00
15-0065-002,7/21/2015,F,9/4/2015,Police- S. Mountain Precinct 400,Police Vehicle,Rear End,"2,000.00",0.00,"1,603.58"
15-0067-001,7/29/2015,F,8/12/2015,Water Distrib - Cave Creek Yard,Operations,Water Main Break,"1,047.62",0.00,0.00
15-0072-001,7/13/2015,F,9/9/2015,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,"3,500.00",0.00,"1,590.00"
15-0075-001,7/2/2015,F,9/11/2015,Street- Southwest Maint Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way",800.00,0.00,0.00
